,orientation,frame_id,case_id,dropped,left,right
2,dropped,1,1,1.0,0.0,0.0
5,dropped,2,1,1.0,0.0,0.0
8,dropped,3,1,1.0,0.0,0.0
11,dropped,4,1,1.0,0.0,0.0
14,grabbed_-_left,5,1,0.0,1.0,0.0
17,grabbed_-_left,6,1,0.0,1.0,0.0
20,grabbed_-_left,7,1,0.0,1.0,0.0
23,grabbed_-_left,8,1,0.0,1.0,0.0
26,grabbed_-_left,9,1,0.0,1.0,0.0
29,grabbed_-_both,10,1,0.0,1.0,1.0
32,grabbed_-_right,11,1,0.0,0.0,1.0
35,grabbed_-_right,12,1,0.0,0.0,1.0
38,grabbed_-_right,13,1,0.0,0.0,1.0
40,grabbed_-_left,14,1,0.0,1.0,0.0
42,grabbed_-_left,15,1,0.0,1.0,0.0
44,grabbed_-_left,16,1,0.0,1.0,0.0
47,grabbed_-_left,17,1,0.0,1.0,0.0
50,grabbed_-_left,18,1,0.0,1.0,0.0
53,grabbed_-_left,19,1,0.0,1.0,0.0
56,grabbed_-_both,20,1,0.0,1.0,1.0
59,grabbed_-_right,21,1,0.0,0.0,1.0
62,grabbed_-_right,22,1,0.0,0.0,1.0
65,grabbed_-_right,23,1,0.0,0.0,1.0
68,grabbed_-_left,24,1,0.0,1.0,0.0
71,grabbed_-_left,25,1,0.0,1.0,0.0
74,grabbed_-_right,26,1,0.0,0.0,1.0
77,grabbed_-_right,27,1,0.0,0.0,1.0
80,grabbed_-_right,28,1,0.0,0.0,1.0
83,grabbed_-_right,29,1,0.0,0.0,1.0
86,grabbed_-_right,30,1,0.0,0.0,1.0
89,grabbed_-_left,31,1,0.0,1.0,0.0
92,grabbed_-_left,32,1,0.0,1.0,0.0
95,grabbed_-_right,33,1,0.0,0.0,1.0
98,grabbed_-_right,34,1,0.0,0.0,1.0
101,grabbed_-_right,35,1,0.0,0.0,1.0
104,grabbed_-_right,36,1,0.0,0.0,1.0
107,grabbed_-_both,37,1,0.0,1.0,1.0
110,grabbed_-_left,38,1,0.0,1.0,0.0
113,grabbed_-_both,39,1,0.0,1.0,1.0
116,grabbed_-_both,40,1,0.0,1.0,1.0
119,grabbed_-_both,41,1,0.0,1.0,1.0
122,grabbed_-_left,42,1,0.0,1.0,0.0
125,grabbed_-_left,43,1,0.0,1.0,0.0
128,grabbed_-_left,44,1,0.0,1.0,0.0
131,grabbed_-_left,45,1,0.0,1.0,0.0
134,grabbed_-_left,46,1,0.0,1.0,0.0
137,grabbed_-_both,47,1,0.0,1.0,1.0
140,grabbed_-_right,48,1,0.0,0.0,1.0
143,grabbed_-_right,49,1,0.0,0.0,1.0
146,grabbed_-_right,50,1,0.0,0.0,1.0
149,grabbed_-_right,51,1,0.0,0.0,1.0
152,grabbed_-_right,52,1,0.0,0.0,1.0
155,grabbed_-_right,53,1,0.0,0.0,1.0
158,grabbed_-_right,54,1,0.0,0.0,1.0
161,grabbed_-_left,55,1,0.0,1.0,0.0
164,grabbed_-_left,56,1,0.0,1.0,0.0
167,grabbed_-_right,57,1,0.0,0.0,1.0
170,grabbed_-_left,58,1,0.0,1.0,0.0
173,grabbed_-_left,59,1,0.0,1.0,0.0
176,grabbed_-_left,60,1,0.0,1.0,0.0
179,grabbed_-_left,61,1,0.0,1.0,0.0
182,grabbed_-_left,62,1,0.0,1.0,0.0
185,grabbed_-_left,63,1,0.0,1.0,0.0
188,grabbed_-_both,64,1,0.0,1.0,1.0
191,grabbed_-_right,65,1,0.0,0.0,1.0
194,grabbed_-_right,66,1,0.0,0.0,1.0
197,grabbed_-_left,67,1,0.0,1.0,0.0
200,grabbed_-_both,68,1,0.0,1.0,1.0
203,grabbed_-_right,69,1,0.0,0.0,1.0
206,grabbed_-_right,70,1,0.0,0.0,1.0
209,grabbed_-_right,71,1,0.0,0.0,1.0
212,grabbed_-_right,72,1,0.0,0.0,1.0
215,grabbed_-_right,73,1,0.0,0.0,1.0
218,grabbed_-_right,74,1,0.0,0.0,1.0
221,grabbed_-_right,75,1,0.0,0.0,1.0
224,grabbed_-_both,76,1,0.0,1.0,1.0
227,grabbed_-_left,77,1,0.0,1.0,0.0
230,grabbed_-_left,78,1,0.0,1.0,0.0
233,grabbed_-_left,79,1,0.0,1.0,0.0
236,grabbed_-_left,80,1,0.0,1.0,0.0
239,grabbed_-_left,81,1,0.0,1.0,0.0
242,grabbed_-_left,82,1,0.0,1.0,0.0
245,grabbed_-_right,83,1,0.0,0.0,1.0
248,grabbed_-_right,84,1,0.0,0.0,1.0
251,grabbed_-_right,85,1,0.0,0.0,1.0
254,grabbed_-_right,86,1,0.0,0.0,1.0
257,grabbed_-_right,87,1,0.0,0.0,1.0
260,grabbed_-_right,88,1,0.0,0.0,1.0
263,grabbed_-_right,89,1,0.0,0.0,1.0
266,grabbed_-_both,90,1,0.0,1.0,1.0
269,grabbed_-_left,91,1,0.0,1.0,0.0
272,grabbed_-_left,92,1,0.0,1.0,0.0
275,grabbed_-_left,93,1,0.0,1.0,0.0
278,grabbed_-_left,94,1,0.0,1.0,0.0
281,grabbed_-_left,95,1,0.0,1.0,0.0
284,grabbed_-_left,96,1,0.0,1.0,0.0
287,grabbed_-_left,97,1,0.0,1.0,0.0
290,grabbed_-_left,98,1,0.0,1.0,0.0
293,grabbed_-_both,99,1,0.0,1.0,1.0
296,grabbed_-_right,100,1,0.0,0.0,1.0
299,grabbed_-_right,101,1,0.0,0.0,1.0
302,grabbed_-_right,102,1,0.0,0.0,1.0
305,grabbed_-_right,103,1,0.0,0.0,1.0
308,grabbed_-_right,104,1,0.0,0.0,1.0
311,grabbed_-_right,105,1,0.0,0.0,1.0
314,grabbed_-_right,106,1,0.0,0.0,1.0
317,grabbed_-_left,107,1,0.0,1.0,0.0
320,grabbed_-_left,108,1,0.0,1.0,0.0
323,grabbed_-_left,109,1,0.0,1.0,0.0
326,grabbed_-_left,110,1,0.0,1.0,0.0
329,grabbed_-_left,111,1,0.0,1.0,0.0
332,grabbed_-_left,112,1,0.0,1.0,0.0
335,grabbed_-_left,113,1,0.0,1.0,0.0
338,grabbed_-_right,114,1,0.0,0.0,1.0
341,grabbed_-_both,115,1,0.0,1.0,1.0
344,grabbed_-_left,116,1,0.0,1.0,0.0
347,grabbed_-_both,117,1,0.0,1.0,1.0
350,grabbed_-_right,118,1,0.0,0.0,1.0
353,grabbed_-_right,119,1,0.0,0.0,1.0
356,grabbed_-_right,120,1,0.0,0.0,1.0
359,grabbed_-_right,121,1,0.0,0.0,1.0
362,grabbed_-_right,122,1,0.0,0.0,1.0
365,grabbed_-_right,123,1,0.0,0.0,1.0
368,grabbed_-_right,124,1,0.0,0.0,1.0
371,grabbed_-_right,125,1,0.0,0.0,1.0
374,grabbed_-_right,126,1,0.0,0.0,1.0
2,dropped,1,2,1.0,0.0,0.0
